id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1471798,Music studio Wrangelkiez,7879983,Daniel,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4998,13.43634,Private room,80,1,180,2019-05-05,2.62,1,244
1473360,Bright room in Friedrichshain,7887689,Giulia,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50517,13.45696,Private room,35,3,36,2019-01-05,0.52,1,164
1474894,Ruhig gelegene Wohnung in Friedrichshain,7894160,Laura,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.51845,13.44627,Entire home/apt,50,2,0,,,1,5
1475520,Frühjahr in Berlin,7897109,Kasia,Neukölln,Reuterstraße,52.4834,13.43743,Private room,60,5,16,2016-09-13,0.25,1,365
1475560,Sunny Apt in Berlin Wedding!!!,7897313,Melanie,Mitte,Brunnenstr. Nord,52.53868,13.38244,Entire home/apt,40,3,1,2015-10-02,0.02,1,286
1477756,nice light room at Prenzlauer Berg,5692471,Vio,Pankow,Prenzlauer Berg Südwest,52.53753,13.42104,Private room,43,2,160,2019-04-22,2.58,1,27
1481357,Kreuzberg Extravaganza,1826978,Dominic,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50069,13.44011,Private room,48,7,48,2019-04-21,2.77,1,2
1481836,Prvt room next to canal Kreuzkölln,6242111,Antje,Neukölln,Rixdorf,52.48213,13.44688,Private room,24,20,46,2018-10-05,0.75,1,108
1482741,Welcome to Berlin Friedrichshain!,3904366,Silva,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.49863,13.46221,Entire home/apt,40,3,119,2019-05-12,1.71,1,52
1488624,AMAZING APARTMENT 2 - TOP LOCATION,472567,Alexandra,Pankow,Helmholtzplatz,52.54788,13.41486,Entire home/apt,189,3,152,2019-04-28,2.19,4,224
1490274,"Cozy, large room with conservatory",7969129,Julia,Neukölln,Rixdorf,52.48269,13.44259,Private room,20,3,3,2018-10-01,0.21,1,133
1491007,nice central studio apartment,6983517,Coco,Mitte,Brunnenstr. Süd,52.53482,13.40584,Entire home/apt,47,6,26,2019-04-10,0.47,1,5
1493526,"Helles, ruhiges Zimmer in Friedrichshain",7982409,Moritz & Kathrin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51033,13.46591,Private room,50,2,46,2019-04-18,0.97,1,248
